Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"D Brabin, C Ananth, S Bojjagani","Blockchain based security framework for sharing digital images using reversible data hiding and encryption",2022,"Multimedia Tools and Applications","Springer","https://link.springer.com/article/10.1007/s11042-022-12617-5","",11,"2022-04-08 03:42:37","","10.1007/s11042-022-12617-5","","",,,,,0,0.00,0,3,1,"… The Paillier cryptosystem along with blockchain technology … blockchain technology and watermarking is proposed in [16]. In the proposed system, blockchain is used to store watermark(…","",""
0,"B Wang, J Shi, W Wang, P Zhao","Image Copyright Protection Based on Blockchain and Zero-watermark",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9732165/","",24,"2022-04-08 03:42:37","","","","",,,,,0,0.00,0,4,1,"… Blockchain is a brand-new application model of encryption algorithm, point-to-point network communication, consensus mechanism, distributed data storage, and many other …","",""
0,"X Wu, P Ma, Z Jin, Y Wu, W Han, W Ou","A novel zero-watermarking scheme based on NSCT-SVD and blockchain for video copyright",2022,"EURASIP Journal on Wireless …","Springer","https://link.springer.com/article/10.1186/s13638-022-02090-x","",26,"2022-04-08 03:42:37","HTML","10.1186/s13638-022-02090-x","","",,,,,0,0.00,0,6,1,"… Thirdly, if zero-watermarking encrypted by keys, key management is a very important issue. … the video zero-watermarking algorithm that works with blockchain for protecting copyright. To …","https://link.springer.com/article/10.1186/s13638-022-02090-x","https://scholar.google.com/scholar?q=related:xGW2Z0PA8PsJ:scholar.google.com/&scioq=encrypted+watermarking+blockchain&hl=en&as_sdt=2007&as_ylo=2020"
0,"U Verma, N Sharma","Enhancing the Security of Medical Images in Telemedicine Using Region-based Crypto-Watermarking Approach",2022,"… on Cloud Computing, Data Science & …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9734148/","",32,"2022-04-08 03:42:37","","","","",,,,,0,0.00,0,2,1,"… Encrypted EHR … watermarking algorithm along with temper localization [7]. Khare and Shrivastava developed a transform based medical image watermarking technique with encryption. …","",""
0,"N Ren, D Tong, H Cui, C Zhu, Q Zhou","Congruence and geometric feature-based commutative encryption-watermarking method for vector maps",2022,"Computers & Geosciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S0098300421002922","",49,"2022-04-08 03:42:37","","","","",,,,,0,0.00,0,5,1,"… of watermarking and encryption are not flexible. Commutative encryption-watermarking (CEW) … For the vector maps, Jang proposed a crypto-marking method combining encryption and …","","https://scholar.google.com/scholar?q=related:4MGw09UZ6DAJ:scholar.google.com/&scioq=encrypted+watermarking+blockchain&hl=en&as_sdt=2007&as_ylo=2020"
0,"I Natgunanathan, P Praitheeshan, L Gao…","Blockchain-Based Audio Watermarking Technique for Multimedia Copyright Protection in Distribution Networks",2022,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3492803","",52,"2022-04-08 03:42:37","","10.1145/3492803","","",,,,,0,0.00,0,4,1,"… blockchain-based watermarking systems are compared with our work in Section 4.2. This research combines these blockchains’ … infrastructure, and they have only stored the encrypted …","",""
0,"KS Singh, HV Singh","Security of Medical Images Using DWT and SVD Watermarking Technique",2022,"Recent Trends in Electronics and Communication","Springer","https://link.springer.com/chapter/10.1007/978-981-16-2761-3_50","",63,"2022-04-08 03:42:37","","10.1007/978-981-16-2761-3_50","","",,,,,0,0.00,0,2,1,"… purpose, encryption and techniques of watermarking have … watermarking, crypto-watermarking algorithms are developed and utilized. There are different types of crypto-watermarking …","","https://scholar.google.com/scholar?q=related:KpD4DoZWd1cJ:scholar.google.com/&scioq=encrypted+watermarking+blockchain&hl=en&as_sdt=2007&as_ylo=2020"
0,"A Khaldi, MR Kafi, MS Moad","Wrapping based curvelet transform approach for ECG watermarking in telemedicine application",2022,"Biomedical Signal Processing and Control","Elsevier","https://www.sciencedirect.com/science/article/pii/S1746809422000623","",77,"2022-04-08 03:42:37","","","","",,,,,0,0.00,0,3,1,"… watermarking in this work is a blind watermarking; it means that the original file and the watermark are … An encryption system might be applied during the watermark creation phase to …","",""
0,"A Anand, AK Singh","Hybrid Nature-Inspired Optimization and Encryption-Based Watermarking for E-Healthcare",2022,"IEEE Transactions on Computational …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9689046/","",78,"2022-04-08 03:42:37","","","","",,,,,0,0.00,0,2,1,"… After embedding, a strong encryption scheme is utilized to address the authentication issue. … the concepts of deep learning and blockchain with watermarking making our system more …","","https://scholar.google.com/scholar?q=related:FYVZRYUhpAgJ:scholar.google.com/&scioq=encrypted+watermarking+blockchain&hl=en&as_sdt=2007&as_ylo=2020"
0,"A Mashat, S Bhatia, A Kumar, P Dadheech…","Medical Image Transmission Using Novel Crypto-Compression Scheme",2022,"INTELLIGENT …","academia.edu","https://www.academia.edu/download/75523019/pdf.pdf","",80,"2022-04-08 03:42:37","","","","",,,,,0,0.00,0,5,1,"… protection and authentication using watermarking and steganography techniques based on DCT. A new conceptual model for medical image encryption and decryption using discrete …","",""
